code,signal_date,entry_price,ret_1d,ret_3d,ret_5d,ret_10d,name,desc
000980,20260528,2.75,,,,,众泰汽车,接近均线5 [放量回调⚠ vol_ratio=1.02]
002475,20260528,72.8,,,,,立讯精密,接近均线5/10/20 [放量回调⚠ vol_ratio=0.86]
002050,20260528,48.61,,,,,三花智控,接近均线30 [放量回调⚠ vol_ratio=1.26]
600336,20260528,7.92,,,,,澳柯玛,接近均线20 [放量回调⚠ vol_ratio=1.41]
000880,20260528,31.82,,,,,潍柴重机,接近均线20 [缩量回调 vol_ratio=1.21]
002600,20260528,15.95,,,,,领益智造,接近均线5 [放量回调⚠ vol_ratio=0.99]
603505,20260528,19.62,,,,,金石资源,接近均线20 [缩量回调 vol_ratio=1.24]
002012,20260528,8.69,,,,,凯恩股份,接近均线5 [放量回调⚠ vol_ratio=4.31]
002407,20260528,35.12,,,,,多氟多,接近均线30 [缩量回调 vol_ratio=1.10]
601066,20260528,23.1,,,,,中信建投,接近均线5 [放量回调⚠ vol_ratio=1.94]
600496,20260528,4.11,,,,,精工钢构,接近均线5/10 [缩量回调 vol_ratio=0.55]
