code,signal_date,entry_price,ret_1d,ret_3d,ret_5d,ret_10d,name,desc
600257,20260528,5.43,,,,,大湖股份,接近前低5.31/5.3 [量能未见底⚠]
002367,20260528,5.58,,,,,康力电梯,接近前低5.5 [量能未见底⚠]
600511,20260528,26.67,,,,,国药股份,接近前低26.77 [量能未见底⚠]
002589,20260528,2.86,,,,,瑞康医药,接近前低2.82 [量趋势回升✓]
000555,20260528,13.17,,,,,神州信息,接近前低12.66/12.68 [量趋势回升✓]
002641,20260528,4.06,,,,,公元股份,接近前低3.97/4.0 [量趋势回升✓]
000157,20260528,7.21,,,,,中联重科,接近前低7.02/7.13 [量能未见底⚠]
002959,20260528,37.45,,,,,小熊电器,接近前低37.09 [量能未见底⚠]
603127,20260528,36.46,,,,,昭衍新药,接近前低35.86/36.0 [量能未见底⚠]
603039,20260528,37.09,,,,,泛微网络,接近前低35.85 [量能未见底⚠]
603027,20260528,7.56,,,,,千禾味业,接近前低7.45 [量趋势回升✓]
603129,20260528,232.1,,,,,春风动力,接近前低228.47/225.37 [今日放量✓]
000049,20260528,26.29,,,,,德赛电池,接近前低25.94/25.77/25.61 [量能未见底⚠]
603020,20260528,9.95,,,,,爱普股份,接近前低9.9 [量能未见底⚠]
600300,20260528,3.24,,,,,维维股份,接近前低3.23/3.25/3.21/3.23 [量能未见底⚠]
002415,20260528,30.76,,,,,海康威视,接近前低30.31/30.09 [量趋势回升✓]
600529,20260528,18.11,,,,,山东药玻,接近前低17.84 [量趋势回升✓]
601398,20260528,7.04,,,,,工商银行,接近前低7.09/7.01/7.02/7.03 [量能未见底⚠]
002695,20260528,11.74,,,,,煌上煌,接近前低11.64/11.74 [量趋势回升✓]
000895,20260528,24.72,,,,,双汇发展,接近前低24.41 [量趋势回升✓]
600660,20260528,51.99,,,,,福耀玻璃,接近前低52.08 [量能未见底⚠]
600486,20260528,56.5,,,,,扬农化工,接近前低55.78 [量趋势回升✓]
600600,20260528,59.9,,,,,青岛啤酒,接近前低60.0/60.2 [量趋势回升✓]
000651,20260528,37.88,,,,,格力电器,接近前低37.99 [量能未见底⚠]
002884,20260528,16.37,,,,,凌霄泵业,接近前低16.26/16.25/16.23/16.19 [量能未见底⚠]
000810,20260528,11.83,,,,,创维数字,接近前低11.54/11.45/11.5 [量能未见底⚠]
